Campaign Name,Subject,List,Send Time,Send Weekday,Total Recipients,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel
NLE | 03.24.2025 | Yin & Yang,The eye care hack you need ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/3/24 9:00,Monday,79050,63,0.08%,7261.39,40340,51.08%,58290,447,0.57%,735,200,4,0.01%,78978,72,0.09%,01JKZC4SPQ00N3QKPERA8E6GQ6,Email
[DEP]250326_MOP_Booster_The cream boost your product,ONE CREAM to elevate your ENTIRE routine!,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/3/26 5:00,Wednesday,80940,58,0.07%,5606.28,55503,68.64%,75887,604,0.75%,876,180,4,0.01%,80866,74,0.09%,01JQ92EXFCZ8G0F0A5418FP8E9,Email
[DEP]250325_RBL_$10Coupon,Your Coupon for Silky Smooth Skin Inside!,[Cayla] - 2503 Body Retinol Coupon - Shopify,2025/3/27 6:00,Thursday,109,1,0.92%,106.59,73,66.97%,126,6,5.50%,11,1,0,0.00%,109,0,0.00%,01JQ3RZ74XDJB5KBGG1XXSSKQM,Email
NLE | 03.27.2025 | Inspired by Oceans,Think your skin is hydrated? ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/3/27 9:00,Thursday,78437,65,0.08%,7275.72,39961,50.98%,57538,305,0.39%,571,164,3,0.00%,78381,56,0.07%,01JKZC5T95WVMA52NZ1SK7YS77,Email
250330_Skin_Prep,3 steps | Prep your skin.. and be AMAZED ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/3/30 5:00,Sunday,80601,71,0.09%,8578.17,54258,69.62%,73620,376,0.48%,748,156,15,0.02%,77931,2670,3.31%,01JNR0HFNXKG3TPA0ZBZES5H75,Email
NLE | 03.31.2025 | Undercover Agent of Skincare,Your dream came true... ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/3/31 9:00,Monday,78578,39,0.05%,5757.63,41056,53.42%,58411,391,0.51%,645,155,11,0.01%,76859,1719,2.19%,01JKZC7JFXH52SYZCTRZEDEXRZ,Email
NLE | 04.01.2025 | Proof Over Promises,Better skin starts with us., NLE - Engaged Profiles (30 Days)"NLE - Engaged Profiles (120 Days) No Overlap,2025/4/1 9:00,Tuesday,77563,47,0.06%,5669.19,38996,50.32%,55812,252,0.33%,594,175,9,0.01%,77502,61,0.08%,01JNK61W9TPETH3M9YM4D2SM9P,Email
NLE | 04.03.2025 | The Currency of Collagen,Your collagen account needs a top-up,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/3 9:00,Thursday,76792,58,0.08%,7230.7,40583,52.89%,58615,479,0.62%,801,170,9,0.01%,76738,54,0.07%,01JNK63MWPYVHKM8FQD1HDMFWR,Email
"NLE | 04.05.2025 | Signs of Life, Not Age",They LIED about your wrinkles, NLE - Engaged Profiles (30 Days)"NLE - Engaged Profiles (120 Days) No Overlap,2025/4/5 9:00,Saturday,76057,54,0.07%,7076,41347,54.40%,60340,322,0.42%,676,142,6,0.01%,76003,54,0.07%,01JNK65QDW3G5X6BQK0399AP82,Email
250406_Eye_Cream_notjustwrinkles,Wrinkles? YES. Youthful Eyes? Also YES! , [DEP] - All Engaged Non Purchasers"[DEP] - All Engaged Buyers,2025/4/6 6:00,Sunday,81161,58,0.07%,7014.73,57765,71.23%,79038,378,0.47%,819,179,8,0.01%,81094,67,0.08%,01JQZVC28B9THP1609KNB98KTZ,Email
"NLE | 04.08.2025 | Your Skin, Your Signature",Generic formulas are stealing your glow... «£,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/8 9:00,Tuesday,76063,36,0.05%,4066.45,39302,51.70%,56078,242,0.32%,418,177,5,0.01%,76023,40,0.05%,01JNK6778HYYQJPMQ3RNVSPJTT,Email
[DEP]250409_CLM&CLS_Double Cleanse,DO THIS if you wear sunscreen,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail",2025/4/9 5:00,Wednesday,77174,41,0.05%,5736.14,55229,71.59%,75832,398,0.52%,569,132,7,0.01%,77142,32,0.04%,01JRAJ00JNDRDBJQX7AMGNCWAW,Email
NLE | 04.10.2025 | The Perfect Pairing (National Siblings Day),Powerful pairs that transform skin , NLE - Engaged Profiles (30 Days)"NLE - Engaged Profiles (120 Days) No Overlap,2025/4/10 9:00,Thursday,77069,58,0.07%,5919.66,39710,51.57%,57421,356,0.46%,669,177,3,0.00%,77003,66,0.09%,01JNK8E8MBWPKM2605CTM64KAG,Email
250412_Ruined_my_skin,What did she do? "It ruined my skin in a week","[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/12 7:30,Saturday,81120,34,0.04%,3771.96,59292,73.16%,81213,269,0.33%,517,171,10,0.01%,81041,79,0.10%,01JRMN8R94JX8G29ZF8M94V5MT,Email
2504011_Peptides+Retinoids,Peptides + Retinoids: Can You Use Them Together? ¤”,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/13 5:00,Sunday,80998,66,0.08%,7861.88,58038,71.72%,79240,428,0.53%,768,148,5,0.01%,80927,71,0.09%,01JQZZVQZQP75A178ECGSQDA1R,Email
NLE | 04.14.2025 | The Quiet Luxury of Skincare,Pretty labelled jars won't fix wrinkles ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/14 9:00,Monday,77803,23,0.03%,3038.22,41051,52.80%,58923,269,0.35%,579,188,5,0.01%,77742,61,0.08%,01JNK96W50ABDH8K96KE6X5JPG,Email
[DEP]250415_MOP_Microneedling in a jar,Micro-needling in a jar?,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/15 5:00,Tuesday,78402,64,0.08%,6591.61,56008,71.50%,77571,665,0.85%,899,175,5,0.01%,78331,71,0.09%,01JRWFXGES5WZMETJEM1CATFHX,Email
NLE | 04.16.2025 | The Art of the Refill - 2nd Purchase Push,Running out? Big mistake! ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/16 9:00,Wednesday,75838,41,0.05%,4693.42,40302,53.18%,57505,345,0.46%,536,196,6,0.01%,75781,57,0.07%,01JNK98DJ3GWJ3HEPN5XYZMXHH,Email
NLE | 04.18.2025 | Beyond the Mirror,What your mirror can't show you... ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/18 9:00,Friday,77585,47,0.06%,5107.52,41727,53.83%,59425,229,0.29%,411,185,6,0.01%,77513,72,0.09%,01JNK9ARKFNG3ZASX2658MWXYD,Email
[DEP]250419_PEC&M1_JUST Two Steps to Smoother Eyes,[MULTIPLE VARIATIONS],"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/19 9:15,Saturday,80325,44,0.06%,4297.26,58910,73.40%,81219,291,0.36%,573,162,7,0.01%,80259,66,0.08%,01JS3FCWC0SDTCFVQ28H0KP9DJ,Email
NLE | 04.20.2025 | Easter Weekend 15% Sitewide,Now live: Easter Sale ,"NLE - Engaged Profiles (120 - 180 Days) No Overlap, NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/20 9:00,Sunday,83621,135,0.16%,17097.83,42556,50.94%,61068,755,0.90%,1528,192,4,0.01%,83542,79,0.09%,01JNK9C6070CWEE6PCWVES7CVT,Email
2504021_Photo_Season,TIPS-Skin Prep for Special Occasions ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/21 4:15,Monday,79940,67,0.08%,8930.85,58186,72.85%,79343,288,0.36%,474,161,6,0.01%,79870,70,0.09%,01JS3X9Q87R5TPAZAZ3ME3KHR2,Email
[DEP]250423_KBC & NAT & SPF_Spring Sun Summer Spots?,Spring Sun = Summer Spots?,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/23 5:00,Wednesday,76202,32,0.04%,3469.02,53287,69.99%,72663,359,0.47%,535,158,6,0.01%,76135,67,0.09%,01JSECSAF6V11B792W7C9RB968,Email
250424_Body_Care_Crepey_Skin,Crepey Skin? KP Bumps? This $26 Lotion Your Fix!,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/24 4:15,Thursday,78001,82,0.10%,7686.16,55842,71.66%,76643,527,0.68%,777,160,9,0.01%,77928,73,0.09%,01JSE1GPQM8H5Z3BDYGQXV4BPM,Email
NLE | 04.25.2025 | Who Said It?,How's your intuition? ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/25 9:00,Friday,78886,32,0.04%,3786.41,44451,56.39%,63541,289,0.37%,502,196,10,0.01%,78828,58,0.07%,01JNK9DHVS39FDH618C6AKQZDQ,Email
[DEP]250426_PSD_Matrixyl + Argireline = This in 28 Days?!,Matrixyl+Argireline This in 28 Days?!,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/26 5:15,Saturday,79319,44,0.06%,4882.66,55139,69.56%,76117,671,0.85%,1000,159,5,0.01%,79262,57,0.07%,01JSGREPZ080TDDQ691TKE7F8P,Email
250427_Parched_for_peptides,Parched for Peptides? quench your skin ,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/4/27 6:00,Sunday,77686,60,0.08%,7081.07,53195,68.53%,72689,339,0.44%,732,152,7,0.01%,77622,64,0.08%,01JSE5ZZ89H1X993TAKMH3CG9Q,Email
[DEP]250429_STICK_35% off all sticks,35% OFF all serum sticks | Hurry! Expires Soon,[Cayla] - 2504 Stick buyer (all time),2025/4/29 9:00,Tuesday,8099,47,0.58%,3707.19,4816,59.52%,6848,273,3.37%,441,8,1,0.01%,8092,7,0.09%,01JT08YDZ786Q0VHG8ATZRBS8W,Email
NLE | 04.30.2025 | The Text You Wish You Got Back,"""Hey... we need to talk"" ","NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/4/30 9:00,Wednesday,79267,52,0.07%,5919.54,42546,53.72%,59966,247,0.31%,368,188,5,0.01%,79197,70,0.09%,01JNK9GP9V274WZ5Z62V7PVR2V,Email
NLE | 05.02.2025 | SPF Isn't Enough (But Wee Got You Covered),Think sunscreen is all you need? ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/5/2 9:00,Friday,78686,61,0.08%,7562.24,45538,57.92%,65175,335,0.43%,478,180,4,0.01%,78624,62,0.08%,01JQER7RHEQZR8DJJFYWYE83DD,Email
NLE | 05.02.2025 | GlockApps Test,Think sunscreen is all you need? ,NLE | 05022025 GlockApps Test,2025/5/2 12:58,Friday,74,0,0.00%,0,22,29.73%,24,1,1.35%,5,0,0,0.00%,74,0,0.00%,01JT8YPYEPWCXM1YG4CBN5H618,Email
NLE | 05.06.2025 | The Glow Index: What Your Skin Score?,The glow index? Huh? ", NLE - Engaged Profiles (30 Days)NLE - Engaged Profiles (120 Days) No Overlap,2025/5/5 9:00,Monday,78211,52,0.07%,6551.81,42892,54.89%,60982,354,0.45%,561,186,8,0.01%,78138,73,0.09%,01JQERGK80QM0MB5AFA1B6RSHE,Email
NLE | 05.08.2025 | The 5-Year Rule: What Your Future Self Wants You to Start Today,Your future self called...,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/5/8 9:00,Thursday,77217,32,0.04%,3854.1,43387,56.66%,61949,339,0.44%,467,169,8,0.01%,76573,644,0.83%,01JQERQ7VQYC9GRJ4F55YNN7RK,Email
[DEP]250509_Peptide Bundle_Mother's day,Shh... Mother Day Picks from the Depology Team,"[DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/9 5:30,Friday,77745,54,0.07%,6430.19,54504,70.17%,74222,484,0.62%,768,120,10,0.01%,77673,72,0.09%,01JTTDDNW2RZHN32J0MSM6D3R3,Email
NLE | 05.10.2025 | Overlooked But Essential: The 1% That Changes Everything,Our secret to exceptional skin ,"NLE - Engaged Profiles (120 Days) No Overlap, NLE - Engaged Profiles (30 Days), NLE - Engaged Profiles (60 Days) No Overlap, NLE - Engaged Profiles (90 Days) No Overlap",2025/5/10 9:00,Saturday,77076,33,0.04%,3662.23,43684,56.73%,62517,314,0.41%,509,143,4,0.01%,77008,68,0.09%,01JQERX82PH9N1266T4F2EWW30,Email
[DEP]250511_MOP_Texture&large pore,Texture & pores on mature skin? Here the fix.", [DEP] - All Engaged Buyers[DEP] - All Engaged Non Purchasers,2025/5/11 5:30,Sunday,76115,39,0.05%,4288.48,54251,71.34%,73922,353,0.46%,564,121,10,0.01%,76047,68,0.09%,01JTYZJKVCDXKR6DFZETRBFN7H,Email
NLE | 05.12.2025 | The ot-So-SecretIngredient to Timeless Skin,The ot-so-secretingredient... ,NLE - Engaged Profiles (120 Days),2025/5/12 9:00,Monday,92931,44,0.05%,4649.36,58305,62.80%,80900,248,0.27%,392,171,8,0.01%,92839,92,0.10%,01JQES1407F5RVB1J8XJWC2CZP,Email
NLE | 05.14.2025 | The Little Things You Didn't Realize Were Aging You,Skincare's glow stealers ,NLE - Engaged Profiles (120 Days),2025/5/14 9:00,Wednesday,92835,59,0.06%,6913.22,56623,61.04%,78722,284,0.31%,393,183,9,0.01%,92763,72,0.08%,01JQES5R24BJEWR6NJR8VS69X2,Email
NLE | 05.16.2025 | The 3PM Mirror Test,Skin dry by lunch? ,NLE - Engaged Profiles (120 Days),2025/5/16 9:00,Friday,92419,46,0.05%,5773.03,55515,60.13%,77097,218,0.24%,331,153,6,0.01%,92331,88,0.10%,01JQESBEKTYGK22DFPM8M8CQ8M,Email
[DEP]250518_MOP_Microneedling cream,Ever heard of a icroneedlingcream?",[DEP] - All Engaged Buyers [DEP] - All Engaged Non Purchasers,2025/5/18 5:15,Sunday,75933,57,0.07%,8808.27,54083,71.28%,73739,456,0.60%,848,113,9,0.01%,75873,60,0.08%,01JVEKFR1T72KBW0Z4TMPZ0Z5M,Email
NLE | 05.20.2025 | Future You is Already Thanking You,A message from your future self? ,NLE - Engaged Profiles (120 Days),2025/5/20 9:00,Tuesday,92052,52,0.06%,6301.5,58922,64.08%,82407,333,0.36%,459,206,4,0.00%,91957,95,0.10%,01JQESFEQ4VWM6KD27WZF11Z0J,Email
[DEP]240521_Memorial_Sale_Launch_1,Memorial Day Sale IS LIVE!  Get 50% Off!,"Archive Sale 2025, [Cayla] 24 Memorial Email Open 2x, [Cayla] Order MOP cream, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/21 4:30,Wednesday,87868,240,0.27%,36905.44,60965,69.47%,83040,1121,1.28%,1751,134,9,0.01%,87761,107,0.12%,01JVEXHQSAEMCEAAT7WFBS1764,Email
[DEP]240521_Memorial_Sale_Launch_2,Memorial Day Sale  Don't Miss 50% Off!,"Archive Sale 2025, Matrixyl - Back In Stock, [Cayla] 24 Memorial Email Open 2x, [Cayla] Order MOP cream, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/21 8:45,Wednesday,88972,233,0.26%,35487.83,62044,69.82%,84513,1121,1.26%,1817,133,7,0.01%,88858,114,0.13%,01JVEYM2FNCN53G5N8EKWE26TE,Email
[DEP]240522_Memorial_Sale_Peptide serum 3F2,Memorial Day Sale  3 for 2 on Peptide Serums!,"Archive Sale 2025, [Cayla] 24 Memorial Email Open 2x, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/22 4:30,Thursday,87602,137,0.16%,20301.12,60051,68.61%,81738,531,0.61%,898,120,6,0.01%,87527,75,0.09%,01JVF05XM42MBC8R0960XD5R4P,Email
NLE | 05.22.2025 | What Your Nightstand Says About You (35% off), Memorialay Savings: 35%ff ,NLE - Engaged Profiles (120 Days),2025/5/22 8:45,Thursday,19381,31,0.16%,3703.18,6747,34.88%,9224,103,0.53%,166,41,1,0.01%,19344,37,0.19%,01JQESKA0JQVJF7F3Y534E38TD,Email
[DEP]240523_Memorial_Sale_Peptide cream 50% off,Memorial Day Sale  50% OFF Peptide Creams!,"Archive Sale 2025, [Cayla] 24 Memorial Email Open 2x, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/23 4:30,Friday,87192,187,0.21%,24830.03,61657,70.77%,84687,792,0.91%,1209,129,11,0.01%,87129,63,0.07%,01JVF24K7X27HTXVHRSCJDKQ85,Email
[DEP]240524_Memorial_Sale_Profirming 50% off,Memorial Weekend  NEW OFFER Just Dropped! ,"Archive Sale 2025, [Cayla] 24 Memorial Email Open 2x, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/24 5:15,Saturday,87309,128,0.15%,16543.83,62822,72.00%,86176,753,0.86%,1225,133,3,0.00%,87247,62,0.07%,01JVF35Y454JVR7C1N99YAS5A1,Email
[DEP]240525_Memorial_Sale_$9 Sunscreen,Memorial Weekend  SPF for $9? YES!!,"Archive Sale 2025, [Cayla] 24 Memorial Email Open 2x, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/25 5:15,Sunday,87172,93,0.11%,11812.54,63121,72.46%,86379,566,0.65%,894,131,8,0.01%,87115,57,0.07%,01JVXJ6RMEX4A5W499ZABTHBEB,Email
[DEP]240525_Memorial_Sale_24 hrs left,Hurry!  Memorial Sale Ends in 24 Hours!,"Archive Sale 2025, [Cayla] 24 Memorial Email Open 2x, [DEP] - All Engaged Buyers, [DEP] - All Engaged Non Purchasers, [DEP] - All Engaged Repeat Buyers - 365, [DEP] - Fairly Engaged - no mail, [DEP] - Signed up 30 days **DO NOT TOUCH**",2025/5/25 14:15,Sunday,87150,103,0.12%,15152.23,63509,72.92%,87493,1438,1.65%,1846,153,8,0.01%,87094,56,0.06%,01JVXNYQGC06765ZPDF38YHEZV,Email
